Bawang Merah,Bawang Putih Honan,Bawang Putih Kating,Beras Medium,Beras Premium,Cabe Merah Besar,Cabe Merah Keriting,Cabe Rawit Merah,Daging Ayam Ras,Daging Sapi Paha Belakang,Gula Pasir,Kedelai Impor,Minyak Goreng Curah,Minyak Goreng Kemasan,Minyak Goreng Kemasan Sederhana,Telur Ayam Ras,Tepung Terigu,date
31846.321726470596,23293.321963636365,27615.92039444444,10585.894556666666,12397.760206060606,29945.625570370372,27916.760105882353,41613.887546666665,35310.74860588235,118335.9042264706,11812.486499999999,10221.777978125001,10736.022241935483,14647.379048484847,11964.23678148148,26337.879161764708,9450.110394117642,2019-01-01
28280.50265000001,23989.522918181825,28791.970944444445,10552.835422580645,12429.396893939393,27403.641503703704,25246.266802941176,36069.22775,33086.07891764706,118146.28988235295,11801.90679117647,10214.741859375,10709.80396875,14628.857620588233,12016.652703703703,25354.440602941173,9439.257461764708,2019-02-01
32398.98595882353,27882.44667352942,29809.669200000004,10568.335329032258,12295.555906060605,28295.91210344827,26363.704100000003,38472.60880689656,32400.569820588236,118016.36122647059,11926.577247058822,10239.54564375,10838.968734375001,14567.190535294116,11935.443833333333,24250.775847058823,9543.067758823528,2019-03-01
39595.565867647056,41569.692905882344,38378.39317083333,10430.525709090905,12427.83110909091,31292.302246428568,29565.04183235294,40338.57002121213,33686.44780294117,118254.46098235295,12093.607529411764,10102.043654545452,10594.611054545456,14490.743152941177,11735.647437931035,24648.963694117643,9336.49569117647,2019-04-01
36384.74754411766,48476.98678823531,47144.374484,10349.990521212121,12313.15201818182,38524.46958275862,36901.47019117647,43661.18463939394,35483.197876470585,119264.40830882349,12815.282238235293,10346.797575,10551.573469696968,14553.129944117645,11742.829875000001,25725.395999999993,9468.943711764705,2019-05-01
37995.69460882354,39359.494364705875,39237.33015652174,10396.518378787878,12336.50111212121,51144.550924137926,49621.24283235294,43768.59174999999,34908.28087352941,119950.96654705884,12978.26647941176,10529.712984848486,10563.513381249999,14580.032517647058,12394.538959375,25017.37940294118,9523.620597058825,2019-06-01
33692.367579411766,35806.80763235295,35978.325573684204,10394.693021875,12378.531839393936,57381.20903448276,57787.521391176466,61002.64578484849,34960.335058823526,119621.91358823529,12931.647135294115,10251.714759375,10766.344540625003,14418.609867647057,12069.56155517241,24823.048132352946,9531.609881818184,2019-07-01
27880.69004411765,32768.13977647058,31643.027152631577,10412.035206060606,12386.596236363639,61088.71063448273,63549.30301764705,74713.63482058824,33334.47740294117,120215.42294411764,12814.509452941176,10150.0608625,10434.540578125,14412.845752941177,11587.493663333335,24941.026799999996,9777.22975,2019-08-01
22823.49367352941,30930.548055882362,29630.753990909096,10405.081751515152,12395.188748484848,42485.571731034484,48018.53252941178,64742.183396969696,31866.009299999994,119624.74343235293,12810.255935294115,10019.919553125,10453.143634374997,14363.78143529412,12081.99482333333,24478.031841176475,9862.001635294117,2019-09-01
24048.954052941175,29974.130864705883,33737.33291,10442.066763636361,12373.474403030305,40537.627470000014,43116.01842941176,60533.91422727273,33647.276817647056,119412.78473529416,12888.730114705882,10121.925259375,10401.643821875003,14354.790988235294,13875.9794,23968.746488235294,9961.149938235294,2019-10-01
28643.918447058815,30562.33621176471,30768.46619473684,10425.092524242424,12405.118809090913,36589.01023870966,38425.68067058824,57214.72962058822,34538.27035588234,119504.79131470586,13110.867947058823,10280.500349999998,10532.5284375,14334.732341176468,12002.728221428571,24215.161702941175,9695.104582352938,2019-11-01
33765.00795000001,30995.276305882348,29289.107586363636,10407.975866666666,12344.23395151515,32778.99519999999,32004.155232352943,43904.48268181818,34872.05588235295,119653.75164411767,13094.032435294119,10241.730131249999,10863.166321874996,14366.32685,12118.915210714285,25904.525832352945,9775.309617647059,2019-12-01
25074.22094117647,22994.55644117647,25974.004286956522,10934.663979411762,12380.317125757574,36689.41080333332,37139.45018823531,46548.68345,33899.34905,117450.39775294118,12596.786952941176,11198.011993939394,11835.147047058821,15069.542163636364,12452.332357692307,25648.96589705882,9065.846508823528,2018-01-01
25140.922450000005,26382.81747941177,28696.704795999998,10993.681461764707,12380.317125757574,39221.682172413806,37852.63130882353,47424.644928125,31802.49427647059,116829.53780588231,12497.792805882353,10701.565106060607,11708.73412352941,15135.871514705877,13286.725616129037,24341.64548235295,9075.913482352944,2018-02-01
27598.276467647058,30671.09921470589,33173.59357407408,10831.295961764707,12428.687156249996,42570.00063,40939.43147058824,54230.965509090915,31750.94391176471,116536.63007352942,12463.196473529413,10480.086733333335,11640.558490909089,15047.326405882352,12536.56215483871,24013.405614705884,9130.378508823529,2018-03-01
35895.0058117647,33134.746594117656,37835.835881481486,10695.37830588235,12410.194249999999,43378.15188000001,38884.68090882354,46965.9420848485,32814.95525882353,116578.39068235295,12431.20650588235,10525.990706060607,11631.62507272727,14979.795805882351,12558.571855882352,23947.52372352941,9089.206117647058,2018-04-01
35658.0064617647,28076.821097058822,30321.3867037037,10541.750402941178,12271.485663636362,37295.50943793105,35936.06607941177,38693.62659696969,35300.01373529412,117292.92219411765,12427.046661764703,10293.598530303027,11581.374975757575,14928.657197058825,12503.943996875001,25579.774132352937,9107.49079117647,2018-05-01
34824.388058823526,27617.813129411763,29569.1398,10467.931188235294,12218.614466666668,36278.249624137934,35527.13847352941,43970.590930303035,35775.58522058823,119377.62532647059,12339.007129411762,10346.516872727274,11485.406290909092,14926.795473529413,12354.332209090908,25403.656897058823,9148.132523529412,2018-06-01
29748.481508823526,27024.746497058823,28700.170299999998,10440.194244117649,12225.558003030299,33533.40947586207,36658.59175000001,53520.60447575758,37972.601723529406,117767.12926176471,12311.36245,11061.774988235293,11447.78262121212,14882.057735294115,12323.226153125,26960.455214705882,9133.359785294117,2018-07-01
26489.59827941176,25816.696308823535,27977.966495833334,10459.259461764705,12202.408581818181,32398.29665517241,35005.94991176471,44071.15663636362,36392.65987647059,118055.98230294116,12258.545173529412,10269.579406060606,11309.53228181818,14846.875679411762,12356.719963636364,25848.66557058823,9178.099023529412,2018-08-01
23564.956629411758,24497.71423235294,26737.480576000005,10493.836070588233,12266.548606060605,28375.530956666673,28855.53147058824,34913.34137058823,33515.894700000004,118061.32396176472,12221.967514705882,10397.632393939393,11272.629987878789,14816.99368235294,12231.831280645161,24664.48361470588,9202.616720588236,2018-09-01
21972.671064705883,23858.754699999998,26267.275515999998,10487.430935294116,12258.147672727271,31027.23995666666,31780.032173529413,37461.17318181818,33173.41020294117,117824.75847941174,12114.183620588234,10339.292636363638,11202.534393939393,14828.030908823528,12156.111140624998,24067.759464705883,9192.217544117648,2018-10-01
24558.17334705883,24089.04618823529,26496.236523809523,10563.75241764706,12320.205593939396,30854.174543333334,31145.229279411764,38367.84356666667,33113.319479411766,117804.0856382353,12048.625547058822,10313.019584848485,11130.53543939394,14788.597361764707,12193.078958064514,24114.48946470588,9234.425494117648,2018-11-01
29100.96501470588,23427.38577058824,26751.689652380956,10640.027588235293,12461.256433333334,31769.761280645158,30760.014649999994,40998.68654848485,35711.83136764707,118267.01465294119,12003.755376470592,10304.286784848486,11169.291072727274,14783.925173529411,12234.92455757576,26235.96862941176,9355.478635294117,2018-12-01
36068.629799999995,38620.80835588235,29233.5966241342,10617.667014285715,12380.317125757574,39167.549857142854,42937.61753333334,85204.20832413793,33005.66071764706,114032.77727647059,14045.548661764704,10269.11319032258,11466.99716470588,14514.793054545453,12504.967606129809,23584.43550882353,8891.263405882353,2017-01-01
36321.82417352943,39501.99469411765,29233.5966241342,10659.95532857143,12380.317125757574,39507.780567857146,43256.621975,105217.95629285711,30041.29512058824,115408.40199117648,13880.138264705878,10366.96318064516,11552.964672727272,14459.902563636357,12504.967606129809,22530.40212941177,8821.797935294118,2017-02-01
37814.99150294118,39011.7783647059,29233.5966241342,10605.819664285716,12380.317125757574,33608.59336774194,38106.86690294117,92417.75644375001,29398.143308823535,114739.23635,13799.078038235293,10704.075567741937,11866.735576470588,15022.7654125,12504.967606129809,21939.639705882357,8860.624814705883,2017-03-01
