Bawang Merah,Bawang Putih Honan,Bawang Putih Kating,Beras Medium,Beras Premium,Cabe Merah Besar,Cabe Merah Keriting,Cabe Rawit Merah,Daging Ayam Ras,Daging Sapi Paha Belakang,Gula Pasir,Kedelai Impor,Minyak Goreng Curah,Minyak Goreng Kemasan,Minyak Goreng Kemasan Sederhana,Telur Ayam Ras,Tepung Terigu,date
24048.95405294117,29974.130864705883,33737.332910000005,10442.06676363636,12373.474403030305,40537.627470000014,43116.018429411764,60533.914227272726,33647.276817647056,119412.78473529415,12888.73011470588,10121.925259375,10401.643821875005,14354.790988235292,13875.9794,23968.746488235294,9961.149938235294,2019-10-01
28643.918447058815,30562.336211764712,30768.466194736837,10425.092524242424,12405.118809090913,36589.01023870966,38425.68067058824,57214.72962058822,34538.27035588234,119504.79131470586,13110.867947058823,10280.500349999998,10532.5284375,14334.732341176466,12002.728221428571,24215.161702941172,9695.104582352938,2019-11-01
33765.007950000014,30995.276305882348,29289.107586363636,10407.975866666666,12344.233951515149,32778.99519999998,32004.155232352943,43904.48268181818,34872.05588235295,119653.75164411767,13094.03243529412,10241.73013125,10863.166321874996,14366.32685,12118.915210714285,25904.525832352945,9775.30961764706,2019-12-01
36783.701052941185,33403.60721470588,35024.30771333333,10624.521623529414,12337.724393939397,44487.21591111113,41083.91806470588,57291.27274000001,33150.122302941185,119088.08353235295,13661.29085882353,10041.827296551724,11652.547370967743,14467.268972727274,12126.553907692307,25661.808917647064,9621.509405882352,2020-01-01
38891.48266176469,48005.049435294124,49068.85954615385,10664.947455882353,12330.113290909092,50202.59972222223,44561.47388823528,54682.55665806451,33438.76499117647,119031.04241470588,14158.67500588235,10192.815193103448,11692.040268749995,14611.3743030303,12191.144242307693,25445.68384411764,9629.204629411764,2020-02-01
37606.34354705884,43181.9444882353,45905.83656923077,10648.262845454548,12373.983575757577,38259.602877777776,35799.146135294126,45174.21672333335,32565.77924117647,119356.2203794118,16706.902914705883,10178.318089655173,11568.92935483871,14758.257609090913,12235.83797307692,26023.206770588244,9622.719297058822,2020-03-01
42750.3161764706,42206.67852647058,37736.50964285714,10669.160458064514,12442.086927272729,32053.78330666666,30497.418264705888,48251.598703030315,30001.67398235294,119528.60814705885,18487.20362352941,10474.592445161292,11605.268593749995,14812.01446470588,12470.096748275862,26857.793155882347,9623.123700000002,2020-04-01
53537.877494117645,33722.089302941175,36534.81169444444,10760.847315151515,12498.439242424243,30088.294329032262,28814.646258823534,36534.89216666667,33584.9205764706,122436.32305882352,16851.532644117648,10470.041093333337,11463.61016875,14836.87546470588,12739.30646,25364.767247058822,9824.383085294116,2020-05-01
51209.81042647058,26602.787438235293,27080.391685,10656.502332258066,12451.007715151514,28114.305290322583,27442.78724117647,35446.041551515154,38131.501114705876,120607.35792941175,15119.677885294119,10266.098236666663,10641.069912121213,14683.285188235293,12520.104282142856,26406.662423529415,9788.043758823527,2020-06-01
36923.79065294117,22080.001373529412,22451.226825,10601.11330625,12421.435148484848,29805.37990333333,30536.7751,35668.09790606061,36232.67793823529,120713.65739117644,13974.697850000004,10180.218553333334,11308.636019354839,14683.142999999998,12495.689048148151,27146.462176470595,9835.373861764705,2020-07-01
31061.853782352933,22452.294132352945,24561.77692631579,10563.7509125,12422.187563636364,29935.923970967746,31134.05442352941,35185.96835151516,32483.16898529412,120497.53817941171,13587.130391176472,10199.6679,11719.21725625,14661.232964705883,12750.054814285715,26673.01364117647,9884.547270588237,2020-08-01
29484.467105882344,24981.76633529412,26112.912665,10522.461484375,12411.028018181822,31923.306437931034,30665.936197058832,33831.14056363636,31966.83412058823,120568.61238529414,13449.468567647058,10060.90325,11937.177867741932,14778.530323529412,12721.931074074073,25512.4125117647,9882.698661764705,2020-09-01
32341.933302941183,25342.277394117642,25950.092638888887,10636.096255882352,12420.28324848485,39642.988548275855,39086.194929411766,35140.627456250004,32794.835655882336,120430.99546470588,13303.645288235293,10101.109143333337,12183.667590625,14959.275017647064,12919.925925925923,25189.251988235294,9929.720935294115,2020-10-01
36256.30532647058,26868.17332058824,28154.306042105265,10661.999750000004,12411.617003030307,40414.81336551725,40616.820094117655,39794.98362812499,35487.1457,120522.97672058824,13279.683626470589,10055.51794,12264.857090322581,14928.393170588235,13073.671062962963,26156.24391764706,10057.7683,2020-11-01
35313.050094117665,27150.060923529414,29360.78033333334,10648.691070588236,12401.14154545454,50764.9052,49602.032664705905,53335.21461875,35598.01869117647,120877.15907352943,13336.084417647056,10213.415736666666,12488.036871875,15007.89297352941,12697.629,28213.85106470589,9966.873408823529,2020-12-01
31948.562188235304,26868.45430882353,28000.465670588237,10588.170044117644,12382.102412121209,46877.8939888889,50885.467252941184,75556.50126451615,34697.134567647074,121202.67485882355,13113.694111764707,11244.532727586206,12250.900951612903,15031.205769696968,13120.520810714284,26848.912791176474,9944.479005882353,2021-01-01
31558.04180882353,27430.699311764718,29427.087594117642,10665.996605882352,12441.971206060603,45512.01754999999,46842.79565882353,80394.68236250003,33735.72239117647,121788.37719411768,13121.160194117649,11530.63154,12380.685706451612,15107.445690909091,13228.753096428569,26058.425882352945,10013.870314705882,2021-02-01
34183.43345294118,28346.33997941177,29864.622221052632,10712.08856470588,12443.087366666665,46094.49442413793,48200.46065588235,93695.05202121213,33985.197417647054,122032.64410000002,13102.304194117649,11748.57183,12572.379616129034,15230.996688235293,13471.1751,25473.3461617647,10109.817064705883,2021-03-01
32600.468005882347,28633.496617647044,29137.060336842114,10782.387323529412,12398.609554545454,46977.72101333334,46589.13599705882,77108.25671249999,35806.71981470589,123613.11236764705,13102.564023529409,11861.543719999994,12776.241322580645,15328.853882352945,13633.157075862071,25902.548294117652,10169.332252941178,2021-04-01
32225.365070588232,29022.117567647056,29178.085661904766,10574.240784848484,12417.704481818184,40720.648583870985,38593.804417647065,65219.89475625001,37091.696817647055,127921.2317852941,13047.280152941179,12119.869766666667,13220.283619354836,15543.782217647058,13787.498089655171,26023.16309117647,10217.161744117644,2021-05-01
30752.447461764703,28662.948264705883,29439.020819047622,10556.202735294113,12371.003451515151,31779.563860000002,31304.024011764708,55754.95654687501,36469.959226470586,125633.87595294118,13038.986,12346.49809,13293.668406451612,15715.040897058818,13992.225362068964,26223.30477647059,10182.557220588236,2021-06-01
32482.633923529414,28869.60704705882,27878.725790476197,10351.801370588233,12317.852775757578,34270.33162,35913.47600882353,68180.05939062499,34025.40202647058,126470.40085588234,13006.587917647055,12463.713876666665,13333.818867741937,15828.542497058823,14121.335955172412,25922.62790588236,10190.388376470588,2021-07-01
33502.704120588234,29058.07649117647,30006.87716842105,10330.090079411764,12334.75821515151,28558.272093333337,28375.241429411763,49854.500365625,32361.646735294125,126000.2422794118,12977.146285294117,12466.51312,13810.677161290325,16009.152035294117,14299.283965517241,25752.769838235297,10186.616405882352,2021-08-01
29167.248782352934,28292.43412941177,28397.1246,10305.399723529412,12319.539966666667,27264.56836,26915.726388235296,38197.699015625,34165.16758235294,125480.96577941175,12957.641794117646,12444.13247666667,14136.121041935483,16333.469988235292,14534.257937931035,24312.66435588235,10215.709138235294,2021-09-01
28275.90726764706,28174.813444117648,29111.678131818182,10291.474947058825,12332.12143939394,32191.54867666668,32269.296844117653,40469.914918749986,35162.84154411764,125472.5880029412,12964.529529411768,12355.35932,14786.632116129038,16786.734317647057,15193.511228571428,23726.623858823532,10237.219997058824,2021-10-01
26957.21314117647,28004.363135294127,29348.141489999984,10279.734758823528,12337.628951515151,37334.26386666668,38814.00886764706,39874.36626874998,35100.30158235294,125602.49952352945,13026.634561764708,12369.342613333334,16643.694670967743,18429.014697058825,16898.07311785714,25184.27122352942,10293.665029411764,2021-11-01
